emoji,emotion,hex,rgb,vibe,intensity
💭,thinking,#D1D4DD,"209,212,221",mellow,3
😿,sadness,#7BA7D9,"123,167,217",soft,1
❤️,love,#FF4F88,"255,79,136",serious,4
😰,fear,#B7C8FF,"183,200,255",clean,4
📝,thinking,#B7BBC3,"183,187,195",mellow,5
👿,anger,#E12B2B,"225,43,43",clean,5
💗,love,#FF5C9A,"255,92,154",earthy,1
😳,surprise,#FFF48A,"255,244,138",soft,3
🤢,disgust,#6A8F27,"106,143,39",playful,4
💧,sadness,#5F84B8,"95,132,184",warm,4
❤️,love,#FF6DAA,"255,109,170",playful,4
📢,surprise,#FFEB6E,"255,235,110",serious,4
😃,joy,#FFD438,"255,212,56",soft,2
📢,surprise,#FFF48A,"255,244,138",mellow,1
🤍,calm,#7BCFCF,"123,207,207",playful,5
💭,thinking,#B7BBC3,"183,187,195",deep,5
🍂,disgust,#A8D27A,"168,210,122",playful,1
💕,love,#FF6DAA,"255,109,170",cold,2
😭,sadness,#A3C4E9,"163,196,233",soft,1
😰,fear,#9BB5FF,"155,181,255",mellow,2
😨,fear,#C3C9FF,"195,201,255",earthy,1
🧠,thinking,#9CA1AA,"156,161,170",soft,2
😥,sadness,#4A6FA5,"74,111,165",clean,4
✨,surprise,#FFF4B0,"255,244,176",cold,4
🔥,anger,#E12B2B,"225,43,43",deep,2
🥺,sadness,#5F84B8,"95,132,184",warm,5
🛌,sleepy,#8A84C8,"138,132,200",bright,4
😫,sadness,#4A6FA5,"74,111,165",earthy,2
📢,surprise,#FFEB6E,"255,235,110",mellow,4
⚡,surprise,#FFFACD,"255,250,205",bright,4
💡,thinking,#D1D4DD,"209,212,221",deep,5
🎐,calm,#C9F4F4,"201,244,244",cold,1
🫲,sleepy,#8A84C8,"138,132,200",serious,2
🥺,sadness,#A3C4E9,"163,196,233",mellow,5
🫠,disgust,#A8D27A,"168,210,122",warm,3
😴,sleepy,#7C74B8,"124,116,184",soft,3
🕷️,fear,#9BB5FF,"155,181,255",serious,4
🤮,disgust,#A8D27A,"168,210,122",mellow,5
🪣,sadness,#4A6FA5,"74,111,165",mellow,2
😃,joy,#FFC94D,"255,201,77",cold,5
📘,thinking,#B7BBC3,"183,187,195",warm,4
😆,joy,#FFDF57,"255,223,87",earthy,3
💘,love,#FF5C9A,"255,92,154",playful,5
🛏️,sleepy,#8A84C8,"138,132,200",earthy,5
🌿,calm,#A5E6E6,"165,230,230",serious,1
😨,fear,#7DA7FF,"125,167,255",soft,3
🥰,love,#FF6DAA,"255,109,170",soft,3
😾,anger,#D60000,"214,0,0",deep,3
😫,sadness,#4A6FA5,"74,111,165",bright,4
🤧,disgust,#89B44C,"137,180,76",deep,3
💘,love,#FF5C9A,"255,92,154",bright,1
🔍,thinking,#D1D4DD,"209,212,221",earthy,4
🤬,anger,#FF3D3D,"255,61,61",playful,5
✏️,thinking,#C8C8D4,"200,200,212",earthy,2
🪣,sadness,#5F84B8,"95,132,184",playful,1
💘,love,#FF4F88,"255,79,136",bright,5
🥺,sadness,#7BA7D9,"123,167,217",mellow,4
🛏️,sleepy,#6B62A6,"107,98,166",mellow,4
💭,thinking,#D1D4DD,"209,212,221",cold,4
🤯,surprise,#FFF4B0,"255,244,176",deep,3
🔍,thinking,#C8C8D4,"200,200,212",clean,5
😿,sadness,#7BA7D9,"123,167,217",bright,4
🌙,sleepy,#A59ED9,"165,158,217",warm,2
📝,thinking,#B7BBC3,"183,187,195",deep,3
😱,fear,#9BB5FF,"155,181,255",clean,5
🦇,fear,#B7C8FF,"183,200,255",earthy,4
😲,surprise,#FFFACD,"255,250,205",warm,2
💕,love,#FF4F88,"255,79,136",mellow,5
🤬,anger,#FF3D3D,"255,61,61",mellow,4
🌊,calm,#A5E6E6,"165,230,230",cold,5
🌊,calm,#95E0E0,"149,224,224",earthy,2
🦟,disgust,#89B44C,"137,180,76",cold,3
🫲,sleepy,#A59ED9,"165,158,217",clean,1
🪹,sleepy,#7C74B8,"124,116,184",clean,2
🦇,fear,#7DA7FF,"125,167,255",cold,3
🦇,fear,#7DA7FF,"125,167,255",mellow,1
🤍,calm,#7BCFCF,"123,207,207",earthy,5
🤯,surprise,#FFF48A,"255,244,138",serious,3
📘,thinking,#B7BBC3,"183,187,195",serious,4
🤢,disgust,#89B44C,"137,180,76",earthy,3
🌌,sleepy,#6B62A6,"107,98,166",earthy,2
💓,love,#FF6DAA,"255,109,170",serious,1
🫲,sleepy,#A59ED9,"165,158,217",bright,4
😖,disgust,#4A7D2D,"74,125,45",deep,3
🥱,sleepy,#7C74B8,"124,116,184",mellow,5
😖,disgust,#4A7D2D,"74,125,45",mellow,5
😾,anger,#FF3D3D,"255,61,61",serious,1
😮,surprise,#FFEB6E,"255,235,110",cold,2
📚,thinking,#D1D4DD,"209,212,221",clean,5
🧠,thinking,#C8C8D4,"200,200,212",mellow,5
💤,calm,#95E0E0,"149,224,224",serious,4
😸,joy,#FFCC00,"255,204,0",clean,3
🤍,calm,#7BCFCF,"123,207,207",mellow,1
😊,joy,#FFC94D,"255,201,77",clean,3
🫶,calm,#A5E6E6,"165,230,230",warm,1
⚡,surprise,#FFEB6E,"255,235,110",playful,1
😢,sadness,#5F84B8,"95,132,184",cold,2
🌿,calm,#7BCFCF,"123,207,207",serious,4
😮,surprise,#FFF48A,"255,244,138",earthy,1
🍂,disgust,#6A8F27,"106,143,39",serious,3
😠,anger,#FF3D3D,"255,61,61",soft,2
😠,anger,#B80000,"184,0,0",warm,2
🎉,surprise,#FFF48A,"255,244,138",playful,5
🫠,disgust,#4A7D2D,"74,125,45",cold,4
😡,anger,#B80000,"184,0,0",clean,2
😺,joy,#FFC94D,"255,201,77",serious,3
🤯,surprise,#FFF48A,"255,244,138",playful,3
😖,disgust,#4A7D2D,"74,125,45",bright,3
🎐,calm,#95E0E0,"149,224,224",warm,4
🤬,anger,#E12B2B,"225,43,43",soft,5
📚,thinking,#B7BBC3,"183,187,195",serious,5
🫠,disgust,#89B44C,"137,180,76",mellow,3
📢,surprise,#FFF4B0,"255,244,176",serious,1
🤢,disgust,#6A8F27,"106,143,39",warm,5
😞,sadness,#4A6FA5,"74,111,165",earthy,2
😥,sadness,#4A6FA5,"74,111,165",soft,3
😺,joy,#FFCC00,"255,204,0",cold,4
😾,anger,#E12B2B,"225,43,43",deep,4
🧘,calm,#7BCFCF,"123,207,207",earthy,4
☁️,calm,#95E0E0,"149,224,224",warm,2
🎐,calm,#7BCFCF,"123,207,207",soft,5
💎,calm,#7BCFCF,"123,207,207",soft,5
😱,fear,#B7C8FF,"183,200,255",soft,5
😢,sadness,#A3C4E9,"163,196,233",warm,5
💧,sadness,#5F84B8,"95,132,184",bright,2
💫,surprise,#FFFACD,"255,250,205",clean,2
🤬,anger,#E12B2B,"225,43,43",playful,3
💭,thinking,#C8C8D4,"200,200,212",mellow,2
😨,fear,#7DA7FF,"125,167,255",cold,2
🫠,disgust,#A8D27A,"168,210,122",earthy,3
😳,surprise,#FFF48A,"255,244,138",deep,4
😳,surprise,#FFEB6E,"255,235,110",earthy,4
🧠,thinking,#9CA1AA,"156,161,170",playful,3
💢,anger,#B80000,"184,0,0",cold,4
😢,sadness,#4A6FA5,"74,111,165",cold,1
😸,joy,#FFC94D,"255,201,77",soft,4
☠️,fear,#9BB5FF,"155,181,255",clean,3
😔,sadness,#A3C4E9,"163,196,233",deep,5
😊,joy,#FFD438,"255,212,56",bright,4
👓,thinking,#C8C8D4,"200,200,212",bright,3
🥱,sleepy,#7C74B8,"124,116,184",earthy,4
😭,sadness,#A3C4E9,"163,196,233",mellow,5
🫣,disgust,#89B44C,"137,180,76",playful,3
🗯️,anger,#E12B2B,"225,43,43",warm,4
😡,anger,#D60000,"214,0,0",cold,2
😿,sadness,#A3C4E9,"163,196,233",deep,1
💫,surprise,#FFF4B0,"255,244,176",clean,5
🧘,calm,#7BCFCF,"123,207,207",deep,4
😡,anger,#D60000,"214,0,0",cold,1
😌,calm,#A5E6E6,"165,230,230",mellow,3
☠️,fear,#B7C8FF,"183,200,255",bright,1
