Name,ColorGroup,Hex,R,G,B
misty sky,red,#E29BA4,226,155,164
soft coffee,green,#54947D,84,148,125
foggy forest,green,#AAB211,170,178,17
glowing beaver,green,#83CB28,131,203,40
glowing snow,blue,#0E2E82,14,46,130
faded parsley,green,#70EB77,112,235,119
dark foam,red,#B95039,185,80,57
bright spinach,green,#58E332,88,227,50
cool coal,red,#F2EB69,242,235,105
frosted cotton,green,#69865F,105,134,95
frosted mustard,blue,#7B60F2,123,96,242
fresh wood,green,#6FDFBF,111,223,191
shiny ash,red,#DC2395,220,35,149
dark corn,blue,#754FA4,117,79,164
dusty weed,green,#12AE20,18,174,32
pale fog,blue,#6B5AD3,107,90,211
earthy corn,red,#844874,132,72,116
rich vinyl,blue,#3D669F,61,102,159
faded blood,blue,#3F0898,63,8,152
faded beaver,blue,#A89EB2,168,158,178
matte mustard,red,#F3A8F1,243,168,241
cool chalk,red,#3A323A,58,50,58
faded ash,red,#7F7759,127,119,89
ripe tin,blue,#645870,100,88,112
dense banana,blue,#75068A,117,6,138
bold gorilla,blue,#797AC0,121,122,192
rich broccoli,blue,#BAB0C9,186,176,201
bold deer,red,#C03C8B,192,60,139
soft cauliflower,green,#C0F9E0,192,249,224
vivid cauliflower,red,#E54F14,229,79,20
dense coffee,red,#EBC2AE,235,194,174
cool gold,red,#3A0D16,58,13,22
warm tin,blue,#0EA1D5,14,161,213
shaded lettuce,red,#EA4A29,234,74,41
glowing cauliflower,red,#501A1C,80,26,28
soft coal,green,#17A065,23,160,101
faded tin,blue,#1A1576,26,21,118
dusty deer,blue,#8C79AE,140,121,174
frosted garlic,green,#2CD025,44,208,37
bright broccoli,green,#59841B,89,132,27
shiny cauliflower,green,#A1EC3E,161,236,62
soft violin,red,#E78F5F,231,143,95
matte mustard,green,#9BD3CB,155,211,203
pale slate,blue,#9A75EF,154,117,239
foggy wood,green,#ABE90C,171,233,12
shaded cherry,blue,#AD4CBF,173,76,191
glowing weed,red,#E153BD,225,83,189
dark foam,red,#601B53,96,27,83
frosted cardboard,red,#935D49,147,93,73
vivid carrot,green,#1CB838,28,184,56
shiny corn,blue,#360393,54,3,147
vivid flour,green,#24D672,36,214,114
raw banana,green,#748240,116,130,64
misty sky,red,#381B15,56,27,21
rich lettuce,green,#BACE97,186,206,151
bright flour,red,#BD3897,189,56,151
soft gold,red,#CD2586,205,37,134
glowing cockroach,blue,#678FE6,103,143,230
fresh tin,red,#77352C,119,53,44
foggy cardboard,blue,#C17DE5,193,125,229
matte cotton,red,#BE3848,190,56,72
misty sea,blue,#77E7FA,119,231,250
vivid tin,green,#6BC721,107,199,33
misty flour,red,#6C3F52,108,63,82
shiny froth,green,#28AB2C,40,171,44
ripe shadow,blue,#CA6FEA,202,111,234
smooth banana,red,#6E5E02,110,94,2
smooth vinyl,green,#DAFB5D,218,251,93
misty cloud,blue,#0736DF,7,54,223
bright coal,red,#E24711,226,71,17
fresh coal,green,#B2E865,178,232,101
frosted cloud,green,#B3C65B,179,198,91
pale grass,blue,#523CB5,82,60,181
misty beaver,blue,#5885A4,88,133,164
dusty flour,blue,#BC61CD,188,97,205
raw salad,green,#10706C,16,112,108
warm dolphin,red,#FD3188,253,49,136
deep violin,red,#570F01,87,15,1
vivid cauliflower,green,#D5FAD2,213,250,210
raw cherry,blue,#DF0FEA,223,15,234
foggy froth,red,#96243B,150,36,59
fresh carrot,blue,#169FED,22,159,237
shaded foam,blue,#2D8BC9,45,139,201
matte corn,green,#60CC02,96,204,2
foggy dolphin,blue,#15529C,21,82,156
raw blood,blue,#6286F3,98,134,243
dusty shadow,red,#A94491,169,68,145
deep snow,blue,#87C5F0,135,197,240
warm silhouette,green,#BDF66B,189,246,107
bright pig,green,#49E652,73,230,82
misty gold,blue,#77D9E3,119,217,227
glowing fog,red,#BC96A7,188,150,167
vivid shadow,blue,#06E1E8,6,225,232
frosted broccoli,green,#12FE37,18,254,55
rich beaver,green,#9CE5B6,156,229,182
warm weed,red,#8F5018,143,80,24
dense cotton,green,#72832D,114,131,45
glowing gorilla,blue,#7978B9,121,120,185
dense banana,green,#375D5C,55,93,92
faded lettuce,red,#600F28,96,15,40
misty spinach,blue,#2B799B,43,121,155
rich cloud,green,#51EC83,81,236,131
cool garlic,blue,#3D3640,61,54,64
rich slate,blue,#6BB1B5,107,177,181
raw tin,blue,#12F0F3,18,240,243
dusty cockroach,blue,#4D3098,77,48,152
deep strawberry,red,#615157,97,81,87
misty grass,red,#EDD399,237,211,153
smooth dolphin,blue,#CF75DF,207,117,223
smooth beaver,red,#F899F5,248,153,245
smooth cockroach,red,#EE2AA8,238,42,168
rich elephant,green,#28F724,40,247,36
misty banana,red,#B58687,181,134,135
foggy lettuce,red,#AE5810,174,88,16
vivid tin,red,#CE3072,206,48,114
matte garlic,red,#A22622,162,38,34
bright grass,red,#D56606,213,102,6
earthy fog,green,#87B14D,135,177,77
dark cherry,red,#FCC5C4,252,197,196
smooth shadow,blue,#4AA5BE,74,165,190
pale cardboard,blue,#7BD3F1,123,211,241
earthy tin,green,#156625,21,102,37
earthy cauliflower,red,#FB273B,251,39,59
ripe violin,red,#AA0813,170,8,19
soft coal,green,#24FC84,36,252,132
fresh swan,blue,#A149E9,161,73,233
misty cloud,green,#244B28,36,75,40
earthy sea,red,#F1703D,241,112,61
shaded gold,red,#874013,135,64,19
fresh cockroach,red,#BD6191,189,97,145
smooth slate,red,#955C53,149,92,83
raw elephant,green,#17753D,23,117,61
faded sky,green,#21DB4B,33,219,75
frosted ash,red,#A06C73,160,108,115
vivid parsley,blue,#6FB1B9,111,177,185
bold slate,blue,#065EC0,6,94,192
foggy deer,red,#BA04B5,186,4,181
soft cello,blue,#324EBE,50,78,190
vivid shadow,red,#D98E8B,217,142,139
dark spinach,green,#4CC38D,76,195,141
faded carrot,red,#CDCC76,205,204,118
glowing blood,red,#DCD395,220,211,149
pale elephant,blue,#1446CD,20,70,205
earthy chalk,red,#B4B14E,180,177,78
shaded mud,green,#11FA5F,17,250,95
deep garlic,green,#01E5B0,1,229,176
matte spinach,green,#87BDB5,135,189,181
smooth cloud,red,#E38E3C,227,142,60
foggy garlic,green,#77FA79,119,250,121
shaded dolphin,green,#2C492E,44,73,46
earthy elephant,green,#A1EB34,161,235,52
deep silhouette,blue,#7939B7,121,57,183
faded mustard,green,#1ADA15,26,218,21
pale slate,green,#078E7D,7,142,125
matte slate,red,#E1D40D,225,212,13
soft ash,blue,#8CB5DB,140,181,219
dense soil,red,#6D0C02,109,12,2
matte shadow,green,#2B9521,43,149,33
rich vinyl,blue,#6D50FD,109,80,253
misty forest,red,#74225A,116,34,90
frosted corn,red,#A5579C,165,87,156
earthy salad,red,#A60271,166,2,113
